;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj
A0A090I4G9;75.98157709;-3.165890999;0.40207805;-7.87382201;3.44E-15;1.34E-12
A0A090JW98;39.57297433;8.959516581;1.300788848;6.887756299;5.67E-12;1.10E-09
A0A089ZAY7;23.28262519;-7.796135517;1.56660463;-4.97645377;6.48E-07;8.40E-05
A0A090I333;21.92007506;-7.709437181;1.608184671;-4.793875555;1.64E-06;0.000159091
A0A090I3G7;147.7986425;0.91754899;0.201482617;4.553985859;5.26E-06;0.000341276
A0A090JSM8;20.33892218;-7.601233625;1.658433176;-4.583382518;4.58E-06;0.000341276
A0A090I4H6;15.62794771;-7.220574212;1.849927238;-3.903166602;9.49E-05;0.005276079
A0A090JTB4;14.02223332;-7.064221565;1.923782136;-3.672048634;0.000240614;0.010399866
A0A090I806;14.18651799;-7.080986909;1.915746685;-3.696202094;0.000218849;0.010399866
A0A090JVC3;128.525956;0.682015583;0.21694378;3.143743438;0.001668016;0.064885827
A0A090I2M3;158.2636492;0.612583933;0.204758845;2.991733681;0.002773981;0.097088234
A0A090I912;9.518987943;-6.505862231;2.222247947;-2.927604113;0.003415847;0.097088234
A0A090I1U9;12.28279437;-6.874300004;2.367734236;-2.903324156;0.003692243;0.097088234
A0A090I7B8;9.739467977;-6.539415898;2.211183633;-2.957427778;0.003102174;0.097088234
A0A090JXV9;10.79215437;7.090028703;2.445695893;2.898982136;0.003743762;0.097088234
A0A090JW77;9.145230235;-6.447488974;2.255437315;-2.858642504;0.00425458;0.103439467
A0A090I5I4;11.67504884;-6.799988249;2.408962315;-2.822787309;0.004760814;0.108938634
A0A090I2R9;111.049675;0.717539099;0.257704808;2.784345024;0.005363595;0.115913238
A0A090I8U6;9.536068401;6.911417538;2.546056784;2.7145575;0.006636438;0.135872333
A0A090I2W9;38.43914264;-1.497075935;0.562005464;-2.663810286;0.007726112;0.150272882
A0A090I2G6;123.6908317;0.625078385;0.239811319;2.606542458;0.009146148;0.169421511
A0A090I503;7.641659821;-6.1895062;2.420868263;-2.55672987;0.010566123;0.186828272
A0A090I1H9;40.83293611;-1.308913366;0.525871373;-2.489037116;0.012808959;0.189579569
A0A090I3T1;89.1922333;0.689314157;0.281757419;2.446480945;0.014425842;0.189579569
A0A090I8L6;153.4111899;0.522775251;0.210845165;2.479427268;0.013159356;0.189579569
A0A090IB58;7.079055919;-6.079207348;2.489385871;-2.442051038;0.014604082;0.189579569
A0A090I308;9.280348491;-6.470186602;2.589667999;-2.498461812;0.012473358;0.189579569
A0A090JWG4;9.325850299;-6.477393734;2.588131136;-2.502730115;0.012323948;0.189579569
A0A090JYP3;8.707721257;-6.378120411;2.649781922;-2.407035975;0.016082586;0.189579569
A0A090I2L0;9.214623343;-6.458287788;2.605051245;-2.479140401;0.013169945;0.189579569
A0A090I915;7.719132628;6.606488397;2.736696336;2.414037798;0.015776826;0.189579569
A0A090IAN2;10.02593248;6.982296374;2.873361881;2.430009397;0.015098431;0.189579569
A0A090JYG5;9.899942077;6.964980371;2.88215261;2.416589721;0.015666665;0.189579569
A0A090I6T8;8.663920068;-6.36930703;2.659830671;-2.394628764;0.016637201;0.190349148
A0A089ZVR9;8.226097638;-6.296191598;2.697120943;-2.334412038;0.019574157;0.217552774
A0A090I7T4;87.50970052;0.612693181;0.277552434;2.207486249;0.027280107;0.28973115
A0A090I1C7;7.429459184;-6.149230509;2.790637178;-2.203522034;0.027557976;0.28973115
A0A089ZFY2;9.286650597;-6.470296002;2.971217317;-2.177658283;0.029431487;0.293489089
A0A090I3Y5;7.205447965;-6.105274801;2.82033482;-2.164734044;0.030408058;0.293489089
A0A090I810;7.10044302;-6.084032347;2.832660467;-2.147815602;0.031728407;0.293489089
A0A090I360;17.5023117;3.344680885;1.56372498;2.138918882;0.032442239;0.293489089
A0A090I1N1;29.66650418;8.545940823;3.908491355;2.186506262;0.028778587;0.293489089
A0A090I495;7.952412488;6.649087723;3.092179392;2.150291714;0.031532147;0.293489089
A0A090I5S9;8.887627785;-6.40798326;3.008928257;-2.129656381;0.033199993;0.293518117
A0A090I4A5;8.707087817;-6.375265448;3.039080822;-2.097761074;0.035926257;0.310562531
A0A090I921;8.501209186;-6.343867293;3.051574157;-2.078883542;0.037628056;0.318202471
