"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A0A090I4G9",49.5429052452919,-2.93596089709112,0.339051922349918,-8.65932532322014,4.7456464545307e-18,2.68603589326437e-15
"A0A089ZAY7",23.4237257005946,-7.79267078489674,0.969143746191094,-8.04077910580687,8.92690530888749e-16,2.52631420241516e-13
"A0A090I333",14.0351943303509,-7.067812658102,1.24333305709105,-5.68456908452041,1.31142902788084e-08,2.47422943260185e-06
"A0A090I3G7",103.817721199155,0.881673725143917,0.175698607208666,5.01810309797622,5.21841718146379e-07,7.38406031177126e-05
"A0A090I2M3",112.484958893561,0.719859560782523,0.182445043679415,3.94562409734424,7.95923965064821e-05,0.00900985928453377
"A0A090I1H9",30.7144173654866,-1.40636082396333,0.372501321879007,-3.77545190140328,0.000159717842768776,0.0109508212450548
"A0A090I2G6",90.1597933620234,0.967555495328168,0.257552566146814,3.75673016892648,0.000172147938677832,0.0109508212450548
"A0A090I806",8.76832703683292,-6.38477558951069,1.70085446061679,-3.75386356525492,0.000174129666440801,0.0109508212450548
"A0A090JW98",17.1478359681711,7.77512692682052,2.03359024428389,3.82334983592453,0.000131650782118017,0.0109508212450548
"A0A090JVC3",82.6728935067773,0.855618613524529,0.231475126769713,3.69637388459347,0.000218700823095558,0.0123784665872086
"A0A090I360",11.7491903727071,4.12838232619428,1.12616062374569,3.66589120516663,0.000246478702615838,0.012682449607324
"A0A090I2R9",75.6746975330311,0.866658545592778,0.24026357054457,3.60711590037745,0.000309619383092259,0.0146037142358515
"A0A090JTB4",7.85370212706078,-6.2297129111997,1.75934575491744,-3.54092587758114,0.000398725575346414,0.0173598981266208
"A0A090JW77",6.5317100731767,-5.9586427132273,1.69542903415266,-3.51453383963387,0.000440526541171087,0.0178098587359168
"A0A090I4H6",7.2364833825889,-6.11339483156367,1.81063887432412,-3.37637444896111,0.000734478848249302,0.0277143352072737
"A0A090I8L6",104.748405462197,0.601990526444694,0.18403349585136,3.27109216536813,0.00107132989305892,0.0378982949669592
"A0A090I618",5.44253517055238,-5.69551118643039,1.79251443745451,-3.17738650658702,0.00148608841390539,0.0467292245705806
"A0A090I912",5.39882136573027,-5.69029517889387,1.78322335913761,-3.19101650936525,0.00141773178823308,0.0467292245705806
"A0A090I1Y5",4.98581470166705,-5.56903598688796,1.82483674209779,-3.05179957111446,0.00227473935514403,0.0677632881585011
"A0A090I9S3",17.957953338182,-2.22072661570172,0.747396953490087,-2.97128133227154,0.00296559977956239,0.0839264737616158
"A0A090I6W9",35.0933705992865,-0.911382042206802,0.315341426702471,-2.89014371418666,0.00385065744809661,0.0990669143464856
"A0A090IB58",4.43887335426265,-5.40746028239669,1.86245893778683,-2.90339839052903,0.00369136732896559,0.0990669143464856
"A0A090I2W9",25.851120001517,-1.05291513545481,0.392715745663708,-2.68111260391492,0.0073377820004209,0.15973786970147
"A0A090JV59",3.76800223642131,-5.16896208839412,1.92624698026563,-2.68343682889581,0.00728697403532995,0.15973786970147
"A0A090JYP3",5.94248148684543,-5.82638261361112,2.16822395189521,-2.68716827360863,0.00720606397958177,0.15973786970147
"A0A090JYG5",6.24154459866443,6.32166489117617,2.34567855579851,2.69502608341158,0.00703831211523556,0.15973786970147
"A0A090JXV9",4.85469656896151,5.96345191812789,2.24238402295127,2.65942490540902,0.00782741770933269,0.164085867536382
"A0A090I7B8",4.57282198511732,-5.4523350500318,2.06145039647512,-2.64490237521832,0.00817144886151671,0.165180001986374
"A0A090I549",4.5204922125349,-5.42588525639989,2.09198791905128,-2.59365037770416,0.00949630003910285,0.185341580073525
"A0A090I5W3",30.1228991815887,-1.40279163064089,0.547350339286169,-2.56287706420417,0.0103808798170788,0.195852599215553
"A0A090JTD5",3.34256488751051,-4.99937317895113,1.96920885205872,-2.53877244850108,0.011124215034559,0.203106635792271
"A0A090I915",4.13776926586673,5.7336824820796,2.30907373702684,2.48310930488616,0.0130241116607056,0.23036397499873
"A0A090I4T3",5.92465659330601,-3.66345023141786,1.50234678996194,-2.43848507940744,0.0147489675508552,0.245526930405414
"A0A090I751",4.97941123773171,-5.56561361656509,2.28083945097938,-2.44016018495964,0.0146807505895997,0.245526930405414
"A0A090I2R3",41.8687352058154,-1.83352713058694,0.762668260442576,-2.40409523470001,0.0162125490831109,0.248008183271372
"A0A090I7T4",61.770847293444,0.533963495572067,0.221080778739702,2.41524160813975,0.0157247751481961,0.248008183271372
"A0A090I8K7",11.7775404070485,7.23139303065456,3.00640555470671,2.40532852240556,0.0161579330134919,0.248008183271372
"A0A090I1N1",10.7097755839438,7.09501219812966,3.00672514696881,2.35971425764753,0.0182890162019143,0.272410083428514
"A0A090I3Y4",5.55929143938272,-5.72805065371067,2.46378119824694,-2.32490233214961,0.0200771832537064,0.291376556964047
"A0A090I2L0",4.35572843323821,-5.38021586778926,2.33181802081611,-2.30730520982347,0.0210378112955771,0.297685029832415
"A0A090JUA7",12.5624999668551,-6.90463256031725,3.00525447627808,-2.29752009848711,0.021589117869297,0.298035139366393
"A0A089ZVK3",2.64317040818056,-4.66027925600103,2.04823898412289,-2.27526147687141,0.022890248914303,0.30847335441656
"A0A090JY14",3.19017377586035,-4.93376862570437,2.19740872757857,-2.24526669243783,0.0247510169207218,0.325792455282059
"A0A090JTE0",32.4061417562622,-0.706235366574441,0.3168898257904,-2.22864639094335,0.0258374417976414,0.332363455851478
"A0A089ZUT3",18.9232455520944,-1.64380638983209,0.747411665300957,-2.19933199620343,0.0278543241914889,0.350345499830727
"A0A089ZGF2",20.6262030327162,-1.07573772211491,0.49661416624832,-2.16614385014746,0.030300196265971,0.357289814302908
"A0A090JYL6",2.97082506329377,-4.82999058975646,2.22706532289265,-2.16876916007249,0.0301002137198673,0.357289814302908
"A0A090I5S9",9.62380501691901,-6.51884930198501,3.00589099753889,-2.16869118252206,0.0301061372604447,0.357289814302908
"K1C9_HUMAN",64.1357044463887,0.462441984979676,0.216152053656612,2.1394290600372,0.0324009355155162,0.37426386738331
"K2C1_HUMAN",133.394032911725,0.388106361786184,0.18259222486152,2.12553607953749,0.0335419068347946,0.379694385369875
