"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A0A090I4G9",65.2470242562135,-3.92555359061695,0.556273487916799,-7.05687701443015,1.70286207849981e-12,1.28906659342435e-09
"A0A090I5F3",29.3572081834762,4.2723090677785,1.25663551780375,3.39979970902407,0.000674352304218016,0.255242347146519
"A0A090I3G7",58.5727999384302,1.30956479957292,0.433800306579778,3.0188194422866,0.00253761719070794,0.623291672642705
"A0A090I514",11.7185572066018,-2.73107376690161,0.929275116507105,-2.93892919156921,0.00329348307869329,0.623291672642705
"A0A090IAH6",215.249862527482,0.343140728552294,0.414997707635845,0.826849696368433,0.408322258270753,0.988190547661253
"A0A090I8L6",51.7536823654726,0.926316654397181,0.421175728321695,2.19935906109399,0.0278524011931422,0.988190547661253
"A0A090I2R3",24.5850010983322,-1.92427629204466,0.776014784147879,-2.47969024734194,0.0131496559947067,0.988190547661253
"A0A090I2M3",64.0047515835675,0.610030909640492,0.43459344606513,1.40368179769805,0.160413625107377,0.988190547661253
"A0A090I2T3",382.076667832481,0.073893066250305,0.44359329827521,0.166578409857899,0.867701782756444,0.988190547661253
"A0A090I3A9",51.7079665010098,0.278900019632129,0.46685984901013,0.597395600036013,0.550243290667201,0.988190547661253
"A0A090I573",220.287787208813,0.499206671606697,0.404058149545614,1.23548224969125,0.216651078591925,0.988190547661253
"A0A090I7W3",130.227422941388,0.405418788126122,0.457374782468105,0.886403893844745,0.375399921706427,0.988190547661253
"A0A090I2R9",62.1237480299362,0.906660359971587,0.514568043144948,1.76198341900566,0.078072098990621,0.988190547661253
"A0A090I2G6",102.57733794885,1.01369827997188,0.390428998829683,2.59637035929825,0.00942144515197452,0.988190547661253
"A0A090I7T4",37.473312612114,0.863132883919505,0.502045674721224,1.71923178981431,0.0855721744706778,0.988190547661253
"A0A090I3J2",54.5989213765755,0.425210745234506,0.843009098687964,0.504396388955104,0.613982855088738,0.988190547661253
"A0A090I3T1",32.271096096323,1.07507311868011,0.603723612768044,1.78073723794064,0.0749553867567413,0.988190547661253
"A0A090I4W3",29.083441040266,0.124423852284823,0.517156675239976,0.240592180748874,0.809871211057722,0.988190547661253
"A0A090I9A6",34.7466421712392,0.204414944160071,0.541731019996125,0.377336605464337,0.705923472058888,0.988190547661253
"A0A0S4FR78",48.5583600067525,-0.570717180901315,1.11225806094814,-0.513115796539887,0.607870322314685,0.988190547661253
"A0A089ZDH4",38.1786371641608,-0.331898087244041,0.521804196423335,-0.636058677793338,0.524738177393509,0.988190547661253
"A0A090I7U6",26.1775163855503,0.524051846451787,0.503813454786998,1.04017040726581,0.298260737482474,0.988190547661253
"A0A090IA40",100.254384199912,0.688620338857343,0.475674243893529,1.44767211531318,0.147708772018427,0.988190547661253
