	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	A0A090I383	A0A090I383_METFO_Diaminopimelate_decarboxylase_OS=Methanobacterium_formicicum_OX=2162_GN=lysA_PE=3_SV=1			47.44991535294705	77.8	10.51	56.21823391286503					Single Protein		A0A090I383	4	42	42	4	42	4	7	57	100.0	Confident
2	A0A090I2W0	A0A090I2W0_METFO_Glutamate_synthase_beta_subunit_GltB2_OS=Methanobacterium_formicicum_OX=2162_GN=gltB2_PE=4_SV=1			22.159096742623635	43.6	20.85	205.31876733394182					Single Protein		A0A090I2W0	3	12	12	3	12	3	4	22	100.0	Confident
3	A0A090I2T3	A0A090I2T3_METFO_Methyl-coenzyme_M_reductase_subunit_beta_OS=Methanobacterium_formicicum_OX=2162_GN=mrtB_PE=3_SV=1			47.4749949124951	41.76	42.89	708.151418881275	Oxidation of M(M30)	Oxidation of M(1)			Single Protein		A0A090I2T3	20	33	33	20	33	20	142	276	100.0	Confident
4	A0A090JWZ4	A0A090JWZ4_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1711_PE=4_SV=1			35.08303341119526	100.0	12.09	30.864912736474917					Single Protein		A0A090JWZ4	2	31	31	2	31	2	2	47	100.0	Confident
5	A0A090I345	A0A090I345_METFO_3-isopropylmalate_dehydrogenase_OS=Methanobacterium_formicicum_OX=2162_GN=leuB3_PE=4_SV=1			35.66912764819991	55.79	24.09	173.4231340986534					Single Protein		A0A090I345	5	24	24	5	24	5	11	48	100.0	Confident
6	A0A090I2S7	A0A090I2S7_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_0891_PE=4_SV=1			52.922648723390395	88.98	3.67	12.849882037226292					Single Protein		A0A090I2S7	1	50	50	1	50	1	1	61	88.23529411764706	Doubtful
7	A0A090I360	A0A090I360_METFO_F420H2_oxidase_FprA_OS=Methanobacterium_formicicum_OX=2162_GN=fprA3_PE=4_SV=1			45.63002841869407	89.93	7.13	25.80509097639706					Single Protein		A0A090I360	2	25	25	2	25	2	2	31	100.0	Confident
8	A0A090I2T7	A0A090I2T7_METFO_Methyl-coenzyme_M_reductase_subunit_gamma_OS=Methanobacterium_formicicum_OX=2162_GN=mcrG_PE=3_SV=1			28.43216440352032	100.0	28.51	96.51173115108182					Single Protein		A0A090I2T7	5	52	52	5	52	5	8	81	100.0	Confident
9	A0A090I2T8	A0A090I2T8_METFO_Digeranylgeranylglycerophospholipid_reductase_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1097_PE=3_SV=1			42.2009676244594	91.6	6.62	26.23517582600368					Single Protein		A0A090I2T8	2	38	38	2	38	2	2	50	100.0	Confident
10	A0A090I333	A0A090I333_METFO_Signal_recognition_particle_54_kDa_protein_OS=Methanobacterium_formicicum_OX=2162_GN=srp54_PE=3_SV=1			49.52492927884669	92.99	4.98	22.979716051974023	Oxidation of M(M119)	Oxidation of M(1)			Single Protein		A0A090I333	2	89	89	2	89	2	2	129	100.0	Confident
11	A0A090I2R3	A0A090I2R3_METFO_TGc_domain-containing_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1067_PE=4_SV=1			130.82308384757442	49.0	24.83	114.07910941066704					Single Protein		A0A090I2R3	21	43	42	20	43	21	55	115	100.0	Confident
12	A0A090I342	A0A090I342_METFO_N5-carboxyaminoimidazole_ribonucleotide_mutase_OS=Methanobacterium_formicicum_OX=2162_GN=purE_PE=3_SV=1			37.374809639523875	67.34	4.01	80.38011316903254					Single Protein		A0A090I342	1	25	25	1	25	1	3	36	100.0	Doubtful
13	A0A090I340	A0A090I340_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_2282_PE=4_SV=1			15.12075937116786	100.0	42.42	182.05622012590436					Single Protein		A0A090I340	5	26	26	5	26	5	11	47	100.0	Confident
14	A0A090I2R9	A0A090I2R9_METFO_F420-non-reducing_hydrogenase_subunit_A_OS=Methanobacterium_formicicum_OX=2162_GN=mvhA_PE=3_SV=1			52.56858579702727	88.35	57.84	174.18621832065037	Oxidation of M(M301)	Oxidation of M(1)			Single Protein		A0A090I2R9	20	54	54	20	54	20	74	161	100.0	Confident
15	A0A090I2P0	A0A090I2P0_METFO_CBS_domain-containing_protein_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_0268_PE=4_SV=1			34.394967453178985	88.5	26.84	99.85332521707437					Single Protein		A0A090I2P0	7	32	32	7	32	7	12	50	100.0	Confident
16	A0A090JWV3	A0A090JWV3_METFO_Acetylglutamate_kinase_OS=Methanobacterium_formicicum_OX=2162_GN=argB_PE=3_SV=1			31.53611919659463	88.74	3.41	24.21708537784955					Single Protein		A0A090JWV3	1	28	28	1	28	1	1	35	76.47058823529412	Doubtful
17	A0A090I311	A0A090I311_METFO_Prephenate_dehydratase_PheA_OS=Methanobacterium_formicicum_OX=2162_GN=pheA_PE=4_SV=1			29.74125446666132	56.13	6.69	83.39658540716401					Single Protein		A0A090I311	1	26	26	1	26	1	2	32	100.0	Doubtful
18	A0A090I305	A0A090I305_METFO_Coenzyme_F420_hydrogenase_alpha_subunit_FrhA_OS=Methanobacterium_formicicum_OX=2162_GN=frhA_PE=3_SV=1			44.09236639535179	75.06	22.47	110.08885174692496	Oxidation of M(M58, M159)	Oxidation of M(2)			Single Protein		A0A090I305	9	34	34	9	34	9	18	55	100.0	Confident
19	A0A090I308	A0A090I308_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1191_PE=4_SV=1			28.087275089174963	86.77	22.96	89.41136155947443					Single Protein		A0A090I308	3	34	34	3	34	3	5	58	100.0	Confident
20	A0A090JWU9	A0A090JWU9_METFO_Protein-export_membrane_protein_SecD_OS=Methanobacterium_formicicum_OX=2162_GN=secD_PE=3_SV=1			42.45029484706849	43.14	6.98	69.0399363842202					Single Protein		A0A090JWU9	2	5	5	2	5	2	3	8	100.0	Confident
