	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting NSAF	Confident Phosphosites	#Confident Phosphosites	Ambiguous Phosphosites	#Ambiguous Phosphosites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	A0A090I377	A0A090I377_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1292_PE=4_SV=1			35.647034806501104	69.47	5.92	0.004484304932735426		0		0	Single Protein		A0A090I377	1	21	21	1	21	1	1	26	76.47058823529412	Doubtful
2	A0A090I383	A0A090I383_METFO_Diaminopimelate_decarboxylase_OS=Methanobacterium_formicicum_OX=2162_GN=lysA_PE=3_SV=1			47.44991535294705	71.73	5.14	0.003826530612244898		0		0	Single Protein		A0A090I383	2	24	24	2	24	2	2	31	99.51338199513383	Confident
3	A0A090I2W0	A0A090I2W0_METFO_Glutamate_synthase_beta_subunit_GltB2_OS=Methanobacterium_formicicum_OX=2162_GN=gltB2_PE=4_SV=1			22.159096742623635	43.6	5.69	0.010869565217391304		0		0	Single Protein		A0A090I2W0	1	4	4	1	4	1	1	6	82.35294117647058	Doubtful
4	A0A090I2T3	A0A090I2T3_METFO_Methyl-coenzyme_M_reductase_subunit_beta_OS=Methanobacterium_formicicum_OX=2162_GN=mrtB_PE=3_SV=1			47.4749949124951	41.76	42.21	0.33038745732776537		0		0	Single Protein		A0A090I2T3	22	29	29	22	29	22	279	392	100.0	Confident
5	A0A090I345	A0A090I345_METFO_3-isopropylmalate_dehydrogenase_OS=Methanobacterium_formicicum_OX=2162_GN=leuB3_PE=4_SV=1			35.66912764819991	55.79	32.01	0.03588754750726583		0		0	Single Protein		A0A090I345	8	21	21	8	21	8	26	54	100.0	Confident
6	A0A090I2T7	A0A090I2T7_METFO_Methyl-coenzyme_M_reductase_subunit_gamma_OS=Methanobacterium_formicicum_OX=2162_GN=mcrG_PE=3_SV=1			28.43216440352032	100.0	8.43	0.006024096385542169		0		0	Single Protein		A0A090I2T7	2	46	46	2	46	2	2	59	88.23529411764706	Confident
7	A0A090I2T8	A0A090I2T8_METFO_Digeranylgeranylglycerophospholipid_reductase_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1097_PE=3_SV=1			42.2009676244594	85.24	2.8	0.0		0		0	Single Protein		A0A090I2T8	1	24	23	1	23	1	1	41	88.23529411764706	Doubtful
8	A0A090I2R3	A0A090I2R3_METFO_TGc_domain-containing_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1067_PE=4_SV=1			130.82308384757442	44.85	31.56	0.022144928276711832		0		0	Single Protein		A0A090I2R3	27	49	47	26	47	26	134	211	100.0	Confident
9	A0A090I333	A0A090I333_METFO_Signal_recognition_particle_54_kDa_protein_OS=Methanobacterium_formicicum_OX=2162_GN=srp54_PE=3_SV=1			49.52492927884669	92.99	4.52	0.0012165450121654502		0		0	Single Protein		A0A090I333	2	49	49	2	49	2	1	69	100.0	Doubtful
10	A0A090I340	A0A090I340_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_2282_PE=4_SV=1			15.12075937116786	100.0	24.24	0.05429292929292929		0		0	Single Protein		A0A090I340	3	27	27	3	27	3	9	40	100.0	Confident
