yourlist:M201907185C475328CEF75220C360D524E9D456CE29FB33D	Entry	Gene names	Protein names	EC number	Function [CC]	Pathway	Keywords	Protein existence	Gene ontology (GO)	Protein families	Taxonomic lineage (SUPERKINGDOM)	Taxonomic lineage (PHYLUM)	Taxonomic lineage (CLASS)	Taxonomic lineage (ORDER)	Taxonomic lineage (FAMILY)	Taxonomic lineage (GENUS)	Taxonomic lineage (SPECIES)	Cross-reference (BioCyc)	Cross-reference (BRENDA)	Cross-reference (CDD)	Cross-reference (eggNOG)	Ensembl transcript	Cross-reference (InterPro)	Cross-reference (KEGG)	Cross-reference (KO)	Cross-reference (Pfam)	Cross-reference (Reactome)	Cross-reference (RefSeq)	Cross-reference (UniPathway)	Organism	Organism ID
A0A090IAH6	A0A090IAH6	thsB BRM9_1454 DSM1535_2145 MB9_0853	Thermosome subunit (Thermosome subunit beta)				ATP-binding;Chaperone;Coiled coil;Complete proteome;Nucleotide-binding	Inferred from homology	ATP binding [GO:0005524]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457]	TCP-1 chaperonin family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd03343;			IPR017998;IPR002194;IPR002423;IPR027409;IPR027413;IPR027410;IPR012714;	mfc:BRM9_1454;mfi:DSM1535_2145;	K22447;	PF00118;				Methanobacterium formicicum	2162
A0A090I8L6	A0A090I8L6	DSM1535_1230	Replication factor-A domain-containing protein				Complete proteome	Predicted	nucleic acid binding [GO:0003676]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR012340;IPR004365;IPR013955;	mfi:DSM1535_1230;	K07466;	PF08646;PF01336;		WP_048072764.1;		Methanobacterium formicicum	2162
A0A090I2R3	A0A090I2R3	DSM1535_1067	Uncharacterized protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR038765;IPR002931;	mfi:DSM1535_1067;		PF01841;				Methanobacterium formicicum	2162
A0A090I2M3	A0A090I2M3	atpA ahaA BRM9_0838 DSM1535_0800 MB9_1890	V-type ATP synthase alpha chain (EC 7.1.2.2) (V-ATPase subunit A)	7.1.2.2	FUNCTION: Produces ATP from ADP in the presence of a proton gradient across the membrane. The archaeal alpha chain is a catalytic subunit. {ECO:0000256|HAMAP-Rule:MF_00309}.		ATP synthesis;ATP-binding;Complete proteome;Hydrogen ion transport;Hydrolase;Ion transport;Nucleotide-binding;Translocase;Transport	Inferred from homology	proton-transporting two-sector ATPase complex, catalytic domain [GO:0033178]; ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]; plasma membrane ATP synthesis coupled proton transport [GO:0042777]	ATPase alpha/beta chains family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR031686;IPR023366;IPR005726;IPR020003;IPR004100;IPR036121;IPR000194;IPR024034;IPR027417;IPR022878;	mfc:BRM9_0838;mfi:DSM1535_0800;	K02117;	PF00006;PF02874;PF16886;		WP_048072402.1;		Methanobacterium formicicum	2162
A0A090I2T3	A0A090I2T3	mrtB BRM9_2153 DSM1535_1092 MB9_2184	Methyl-coenzyme M reductase subunit beta (EC 2.8.4.1) (Coenzyme-B sulfoethylthiotransferase beta)	2.8.4.1		PATHWAY: One-carbon metabolism; methyl-coenzyme M reduction; methane from methyl-coenzyme M: step 1/1. {ECO:0000256|PIRNR:PIRNR000263}.	Complete proteome;Methanogenesis;Transferase	Predicted	coenzyme-B sulfoethylthiotransferase activity [GO:0050524]; methanogenesis [GO:0015948]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR008924;IPR015823;IPR003179;IPR022679;IPR022680;IPR009024;	mfc:BRM9_2153;mfi:DSM1535_1092;	K00401;	PF02241;PF02783;		WP_048072646.1;	UPA00646;UER00699	Methanobacterium formicicum	2162
A0A090I3A9	A0A090I3A9	dnaK DSM1535_1169	Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70)		FUNCTION: Acts as a chaperone. {ECO:0000256|HAMAP-Rule:MF_00332}.		ATP-binding;Chaperone;Coiled coil;Complete proteome;Nucleotide-binding	Inferred from homology	ATP binding [GO:0005524]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457]	Heat shock protein 70 family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR012725;IPR018181;IPR029048;IPR029047;IPR013126;	mfi:DSM1535_1169;	K04043;	PF00012;		WP_048072711.1;		Methanobacterium formicicum	2162
A0A090I573	A0A090I573	mer BRM9_0745 DSM1535_0704 MB9_1786	5,10-methylenetetrahydromethanopterin reductase (EC 1.5.98.2) (Coenzyme F420-dependent N(5),N(10)-methylenetetrahydromethanopterin reductase) (Methylene-H(4)MPT reductase)	1.5.98.2	FUNCTION: Catalyzes the reversible reduction of methylene-H(4)MPT to methyl-H(4)MPT. {ECO:0000256|HAMAP-Rule:MF_01091}.	PATHWAY: One-carbon metabolism; methanogenesis from CO(2); methyl-coenzyme M from 5,10-methylene-5,6,7,8-tetrahydromethanopterin: step 1/2. {ECO:0000256|HAMAP-Rule:MF_01091}.	Complete proteome;Cytoplasm;Methanogenesis;One-carbon metabolism;Oxidoreductase	Inferred from homology	cytoplasm [GO:0005737]; coenzyme F420-dependent N5,N10-methenyltetrahydromethanopterin reductase activity [GO:0018537]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]; methanogenesis, from carbon dioxide [GO:0019386]; one-carbon metabolic process [GO:0006730]	Mer family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR011251;IPR036661;IPR019946;	mfc:BRM9_0745;mfi:DSM1535_0704;	K00320;	PF00296;		WP_048072322.1;	UPA00640;UER00697	Methanobacterium formicicum	2162
A0A090I7W3	A0A090I7W3	mcrB BRM9_0939 DSM1535_0909 MB9_1993	Methyl-coenzyme M reductase subunit beta (EC 2.8.4.1) (Coenzyme-B sulfoethylthiotransferase beta)	2.8.4.1		PATHWAY: One-carbon metabolism; methyl-coenzyme M reduction; methane from methyl-coenzyme M: step 1/1. {ECO:0000256|PIRNR:PIRNR000263}.	Complete proteome;Methanogenesis;Transferase	Predicted	coenzyme-B sulfoethylthiotransferase activity [GO:0050524]; methanogenesis [GO:0015948]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR008924;IPR015823;IPR003179;IPR022679;IPR022680;IPR009024;	mfc:BRM9_0939;mfi:DSM1535_0909;	K00401;	PF02241;PF02783;		WP_048072495.1;	UPA00646;UER00699	Methanobacterium formicicum	2162
A0A090I2R9	A0A090I2R9	mvhA DSM1535_0881	F420-non-reducing hydrogenase subunit A (EC 1.12.99.-)	1.12.99.-			Complete proteome;Metal-binding;Nickel;Oxidoreductase	Inferred from homology	ferredoxin hydrogenase activity [GO:0008901]; nickel cation binding [GO:0016151]	[NiFe]/[NiFeSe] hydrogenase large subunit family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR001501;IPR018194;IPR029014;	mfi:DSM1535_0881;	K14126;	PF00374;		WP_048072472.1;		Methanobacterium formicicum	2162
A0A090I2G6	A0A090I2G6	mcrA BRM9_0935 DSM1535_0905 MB9_1989	Methyl-coenzyme M reductase subunit alpha (EC 2.8.4.1)	2.8.4.1	FUNCTION: Component of the methyl-coenzyme M reductase (MCR) I that catalyzes the reductive cleavage of methyl-coenzyme M (CoM-S-CH3 or 2-(methylthio)ethanesulfonate) using coenzyme B (CoB or 7-mercaptoheptanoylthreonine phosphate) as reductant which results in the production of methane and the mixed heterodisulfide of CoB and CoM (CoM-S-S-CoB). This is the final step in methanogenesis. {ECO:0000256|PIRNR:PIRNR000262}.	PATHWAY: One-carbon metabolism; methyl-coenzyme M reduction; methane from methyl-coenzyme M: step 1/1. {ECO:0000256|PIRNR:PIRNR000262}.	Complete proteome;Metal-binding;Methanogenesis;Nickel;Transferase	Predicted	coenzyme-B sulfoethylthiotransferase activity [GO:0050524]; metal ion binding [GO:0046872]; methanogenesis [GO:0015948]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR016212;IPR008924;IPR009047;IPR003183;IPR015811;IPR015823;IPR009024;	mfc:BRM9_0935;mfi:DSM1535_0905;	K00399;	PF02249;PF02745;		WP_048072491.1;	UPA00646;UER00699	Methanobacterium formicicum	2162
