yourlist:M201907185C475328CEF75220C360D524E9D456CE29FB3CW	Entry	Gene names	Protein names	EC number	Function [CC]	Pathway	Keywords	Protein existence	Gene ontology (GO)	Protein families	Taxonomic lineage (SUPERKINGDOM)	Taxonomic lineage (PHYLUM)	Taxonomic lineage (CLASS)	Taxonomic lineage (ORDER)	Taxonomic lineage (FAMILY)	Taxonomic lineage (GENUS)	Taxonomic lineage (SPECIES)	Cross-reference (BioCyc)	Cross-reference (BRENDA)	Cross-reference (CDD)	Cross-reference (eggNOG)	Ensembl transcript	Cross-reference (InterPro)	Cross-reference (KEGG)	Cross-reference (KO)	Cross-reference (Pfam)	Cross-reference (Reactome)	Cross-reference (RefSeq)	Cross-reference (UniPathway)	Organism	Organism ID
A0A090I4G9	A0A090I4G9	DSM1535_1784	Uncharacterized protein				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR038765;IPR002477;IPR036365;IPR036366;IPR002931;	mfi:DSM1535_1784;		PF01471;PF01841;		WP_048073207.1;		Methanobacterium formicicum	2162
A0A090JW98	A0A090JW98	nrdD BRM9_0145 DSM1535_1468 MB9_0109	Anaerobic ribonucleoside-triphosphate reductase (EC 1.17.4.2) (Anaerobic ribonucleoside-triphosphate reductase NrdD)	1.17.4.2			ATP-binding;Complete proteome;Nucleotide-binding;Oxidoreductase	Predicted	ATP binding [GO:0005524]; ribonucleoside-triphosphate reductase activity [GO:0008998]; DNA replication [GO:0006260]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd01675;			IPR005144;IPR012833;	mfc:BRM9_0145;mfi:DSM1535_1468;	K21636;	PF03477;PF13597;		WP_048072970.1;		Methanobacterium formicicum	2162
A0A089ZAY7	A0A089ZAY7	rps4p rps4 BRM9_0375 DSM1535_0302 MB9_1411	30S ribosomal protein S4		FUNCTION: One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the body of the 30S subunit. {ECO:0000256|HAMAP-Rule:MF_01306, ECO:0000256|SAAS:SAAS00896430}.; FUNCTION: With S5 and S12 plays an important role in translational accuracy. {ECO:0000256|HAMAP-Rule:MF_01306, ECO:0000256|SAAS:SAAS00896433}.		Complete proteome;RNA-binding;Ribonucleoprotein;Ribosomal protein;rRNA-binding	Inferred from homology	small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	Universal ribosomal protein uS4 family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd00165;			IPR022801;IPR005710;IPR001912;IPR022802;IPR018079;IPR002942;IPR036986;	mfc:BRM9_0375;mfi:DSM1535_0302;	K02986;	PF01479;		WP_048071977.1;		Methanobacterium formicicum	2162
A0A090I333	A0A090I333	srp54 DSM1535_1206	Signal recognition particle 54 kDa protein (SRP54)		FUNCTION: Involved in targeting and insertion of nascent membrane proteins into the cytoplasmic membrane. Binds to the hydrophobic signal sequence of the ribosome-nascent chain (RNC) as it emerges from the ribosomes. The SRP-RNC complex is then targeted to the cytoplasmic membrane where it interacts with the SRP receptor FtsY. {ECO:0000256|HAMAP-Rule:MF_00306, ECO:0000256|SAAS:SAAS00871663}.		Coiled coil;Complete proteome;Cytoplasm;GTP-binding;Nucleotide-binding;RNA-binding;Ribonucleoprotein;Signal recognition particle	Inferred from homology	signal recognition particle [GO:0048500]; 7S RNA binding [GO:0008312]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]	GTP-binding SRP family, SRP54 subfamily	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR003593;IPR027417;IPR036891;IPR013822;IPR004125;IPR036225;IPR022941;IPR000897;IPR042101;	mfi:DSM1535_1206;	K03106;	PF00448;PF02881;PF02978;		WP_048072741.1;		Methanobacterium formicicum	2162
A0A090JSM8	A0A090JSM8	tfb BRM9_1877 DSM1535_0060 MB9_0480	Transcription initiation factor IIB (TFIIB)		FUNCTION: Stabilizes TBP binding to an archaeal box-A promoter. Also responsible for recruiting RNA polymerase II to the pre-initiation complex (DNA-TBP-TFIIB). {ECO:0000256|HAMAP-Rule:MF_00383}.		Complete proteome;Initiation factor;Metal-binding;Protein biosynthesis;Repeat;Transcription;Transcription regulation;Zinc;Zinc-finger	Inferred from homology	DNA-binding transcription factor activity [GO:0003700]; TBP-class protein binding [GO:0017025]; translation initiation factor activity [GO:0003743]; zinc ion binding [GO:0008270]; transcription preinitiation complex assembly [GO:0070897]	TFIIB family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum			cd00043;			IPR013763;IPR036915;IPR000812;IPR023484;IPR023486;IPR013150;IPR013137;	mfc:BRM9_1877;mfi:DSM1535_0060;	K03124;	PF08271;PF00382;				Methanobacterium formicicum	2162
A0A090I3G7	A0A090I3G7	hdrA hdrA2 BRM9_2298 DSM1535_1232 MB9_2336	CoB--CoM heterodisulfide reductase subunit A HdrA2 (CoB-CoM heterodisulfide reductase iron-sulfur subunit A) (EC 1.8.98.1)	1.8.98.1			Complete proteome;Oxidoreductase	Predicted	CoB--CoM heterodisulfide reductase activity [GO:0051912]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR017896;IPR017900;IPR036188;IPR023753;IPR039650;	mfc:BRM9_2298;mfi:DSM1535_1232;	K03388;	PF00037;PF13187;PF07992;		WP_048072766.1;		Methanobacterium formicicum	2162
A0A090I4H6	A0A090I4H6	rpl15 BRM9_0384 DSM1535_0312 MB9_1421	50S ribosomal protein L15		FUNCTION: Binds to the 23S rRNA. {ECO:0000256|HAMAP-Rule:MF_01341}.		Complete proteome;RNA-binding;Ribonucleoprotein;Ribosomal protein;rRNA-binding	Inferred from homology	large ribosomal subunit [GO:0015934]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	Universal ribosomal protein uL15 family	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR027386;IPR036227;IPR030878;IPR001196;IPR021131;	mfc:BRM9_0384;mfi:DSM1535_0312;	K02876;	PF00828;		WP_048071986.1;		Methanobacterium formicicum	2162
A0A090I806	A0A090I806	DSM1535_2082	Putative pantothenate synthetase				Complete proteome	Predicted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR002855;IPR038138;	mfi:DSM1535_2082;	K09722;	PF02006;				Methanobacterium formicicum	2162
A0A090JTB4	A0A090JTB4	rnj BRM9_0360 DSM1535_0287 MB9_1396	Ribonuclease J (RNase J) (EC 3.1.-.-)	3.1.-.-	FUNCTION: An RNase that has 5'-3' exonuclease activity. May be involved in RNA degradation. {ECO:0000256|HAMAP-Rule:MF_01492}.		Complete proteome;Cytoplasm;Exonuclease;Hydrolase;Metal-binding;Nuclease;RNA-binding;Zinc	Inferred from homology	cytoplasm [GO:0005737]; 5'-3' exoribonuclease activity [GO:0004534]; RNA binding [GO:0003723]; zinc ion binding [GO:0008270]; RNA catabolic process [GO:0006401]	Metallo-beta-lactamase superfamily, RNA-metabolizing metallo-beta-lactamase-like family, Archaeal RNase J subfamily	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR001279;IPR036866;IPR011108;IPR004613;IPR042173;IPR030879;	mfc:BRM9_0360;mfi:DSM1535_0287;	K12574;	PF00753;PF07521;		WP_048071962.1;		Methanobacterium formicicum	2162
A0A090JVC3	A0A090JVC3	mrtA DSM1535_1095	Methyl-coenzyme M reductase subunit alpha (EC 2.8.4.1)	2.8.4.1	FUNCTION: Component of the methyl-coenzyme M reductase (MCR) I that catalyzes the reductive cleavage of methyl-coenzyme M (CoM-S-CH3 or 2-(methylthio)ethanesulfonate) using coenzyme B (CoB or 7-mercaptoheptanoylthreonine phosphate) as reductant which results in the production of methane and the mixed heterodisulfide of CoB and CoM (CoM-S-S-CoB). This is the final step in methanogenesis. {ECO:0000256|PIRNR:PIRNR000262}.	PATHWAY: One-carbon metabolism; methyl-coenzyme M reduction; methane from methyl-coenzyme M: step 1/1. {ECO:0000256|PIRNR:PIRNR000262}.	Complete proteome;Metal-binding;Methanogenesis;Nickel;Transferase	Predicted	coenzyme-B sulfoethylthiotransferase activity [GO:0050524]; metal ion binding [GO:0046872]; methanogenesis [GO:0015948]		Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum						IPR016212;IPR008924;IPR009047;IPR003183;IPR015811;IPR015823;IPR009024;	mfi:DSM1535_1095;	K00399;	PF02249;PF02745;		WP_048072649.1;	UPA00646;UER00699	Methanobacterium formicicum	2162
